iter	Passed	Remaining
0	12	12285
1	22	11097
2	33	11059
3	41	10410
4	58	11719
5	68	11314
6	76	10785
7	83	10306
8	89	9896
9	101	10050
10	109	9888
11	116	9611
12	125	9503
13	130	9218
14	138	9084
15	143	8817
16	148	8603
17	154	8416
18	158	8202
19	163	8033
20	168	7837
21	173	7706
22	177	7556
23	182	7435
24	188	7333
25	192	7215
26	197	7119
27	201	7002
28	206	6899
29	212	6861
30	216	6774
31	220	6683
32	226	6640
33	231	6574
34	236	6529
35	242	6481
36	246	6423
37	251	6369
38	257	6338
39	261	6287
40	266	6239
41	270	6174
42	274	6114
43	278	6061
44	283	6007
45	286	5949
46	291	5902
47	295	5863
48	299	5816
49	303	5766
50	308	5737
51	313	5718
52	317	5675
53	322	5641
54	326	5608
55	330	5575
56	335	5547
57	340	5524
58	344	5497
59	348	5459
60	353	5434
61	357	5410
62	361	5376
63	365	5343
64	369	5313
65	373	5285
66	377	5258
67	381	5229
68	385	5197
69	389	5178
70	394	5158
71	399	5149
72	404	5133
73	409	5118
74	413	5105
75	418	5084
76	423	5077
77	427	5054
78	441	5145
79	445	5119
80	449	5098
81	453	5079
82	457	5057
83	461	5034
84	466	5016
85	470	4997
86	473	4972
87	477	4948
88	481	4932
89	486	4916
90	490	4894
91	493	4870
92	497	4854
93	502	4839
94	505	4819
95	509	4800
96	514	4790
97	518	4774
98	522	4753
99	525	4733
100	531	4727
101	535	4713
102	539	4701
103	544	4686
104	548	4678
105	554	4672
106	560	4677
107	566	4674
108	571	4672
109	580	4700
110	586	4695
111	591	4691
112	597	4688
113	602	4679
114	607	4676
115	613	4677
116	619	4678
117	626	4679
118	631	4677
119	637	4672
120	642	4667
121	648	4668
122	655	4673
123	662	4678
124	668	4677
125	673	4670
126	677	4659
127	683	4654
128	689	4655
129	695	4654
130	701	4650
131	707	4654
132	715	4666
133	725	4689
134	731	4688
135	738	4689
136	743	4685
137	749	4684
138	755	4680
139	760	4672
140	765	4663
